epoch,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1,learning_rate
1,0.4623642878873008,29.157175398633257,0.2692644108424402,0.42368489503860474,53.284671532846716,0.5724511727050101,9.891830623632339e-05
2,0.40905653493744987,42.87015945330296,0.40448334796396296,0.3623462378978729,76.27737226277372,0.7680087866723494,9.572050015330874e-05
3,0.3655110001564026,51.207289293849655,0.4889783467023708,0.32492671012878416,75.18248175182482,0.7542674999302879,9.05463412215599e-05
4,0.3285560156617846,59.95444191343964,0.5884595636158746,0.2955757141113281,78.10218978102189,0.7834021179208991,8.362196501476348e-05
5,0.30370540022850034,63.325740318906604,0.6217675494986082,0.25202108919620514,79.1970802919708,0.7977282678204162,7.525e-05
6,0.26804460883140563,67.74487471526196,0.6683928232870573,0.2226886749267578,81.38686131386861,0.8186573423403002,6.57963412215599e-05
7,0.2486666956118175,71.1617312072893,0.7028231407552554,0.21035764813423158,85.03649635036497,0.8536822121799265,5.5674158931748854e-05
8,0.23625399257455554,73.57630979498862,0.7288353705564622,0.1977679193019867,86.86131386861314,0.8720250389238717,4.532584106825116e-05
9,0.22085582273347037,74.94305239179954,0.7457638443585602,0.18116811215877532,87.22627737226277,0.8756288411263519,3.5203658778440106e-05
10,0.21065397432872227,76.30979498861048,0.7614879751483931,0.16565197706222534,87.22627737226277,0.8775484563789525,2.5750000000000013e-05
11,0.19788867235183716,77.8132118451025,0.776556198972164,0.1673186480998993,88.32116788321167,0.8890083653763697,1.7378034985236535e-05
12,0.18871091178485325,78.13211845102505,0.7793242437486045,0.16014469265937806,90.87591240875912,0.9167541885356062,1.0453658778440109e-05
13,0.18810528133596693,78.95216400911161,0.787354717867437,0.15173397660255433,87.95620437956204,0.8852620760557655,5.279499846691251e-06
14,0.1847443495477949,78.90660592255125,0.7882658028394028,0.15015842020511627,89.05109489051095,0.8978116714452837,2.0816937636766186e-06
15,0.18401048311165402,79.31662870159454,0.7900385968068752,0.15386501252651213,88.68613138686132,0.8929114826514378,0.0001
16,0.17294625469616481,80.86560364464692,0.8072820872810416,0.12467129826545716,91.60583941605839,0.9224064677760737,9.972883382072954e-05
17,0.15728209699903214,79.13439635535308,0.7894147008640789,0.10763347148895264,90.87591240875912,0.9167541885356062,9.891830623632339e-05
18,0.13620814957789013,82.87015945330296,0.8285242138491876,0.0956070825457573,90.14598540145985,0.9108240083038905,9.757729755661011e-05
19,0.1251707123858588,82.1867881548975,0.8215672588407996,0.0895211398601532,91.24087591240875,0.9220347640579722,9.572050015330874e-05
20,0.1142186660851751,84.00911161731207,0.8398542578560854,0.0758679024875164,91.60583941605839,0.9257492449130037,9.336825748732972e-05
21,0.10411527433565684,85.96810933940775,0.8591071644164258,0.06263739764690399,92.33576642335767,0.9331477734447783,9.05463412215599e-05
22,0.09370009579828807,86.46924829157176,0.8637813060878552,0.05709516257047653,93.7956204379562,0.947837648438701,8.728566886113102e-05
23,0.09032401932137353,86.78815489749431,0.8670116036748581,0.04966889098286629,93.06569343065694,0.9416023785487619,8.362196501476348e-05
24,0.08276146160704749,87.15261958997722,0.8718894788513846,0.04485243558883667,93.06569343065694,0.9416023785487619,7.959536998847742e-05
25,0.08006566794855254,86.42369020501138,0.863361226727876,0.04392489194869995,93.06569343065694,0.9416023785487619,7.525e-05
26,0.07187963287745203,88.29157175398633,0.8828488714944513,0.039177776873111726,93.06569343065694,0.9416023785487619,7.063346383225212e-05
